relevant	avg_tag_in_li	depth	number_bold	number_br	number_div	number_img	number_links	number_p	number_relevants	number_row	relevants_ratio
1	0.0	1	0	9	0	0	0	0	14	8	0.34
1	0.0	1	0	0	0	0	0	0	20	9	0.43
1	2.0	2	0	0	2	0	0	0	17	1	0.53
1	1.5	5	0	0	4	0	1	0	58	6	0.46
1	0.0	1	0	0	0	0	0	0	43	6	0.58
1	1.33	5	0	0	4	0	1	0	21	9	0.33
1	0.0	1	0	0	0	0	0	0	54	5	0.61
1	2.0	2	0	0	4	0	0	0	3	2	0.43
1	2.0	2	0	0	2	0	0	0	31	1	0.58
1	1.5	5	0	0	4	0	1	0	34	6	0.47
1	0.0	1	0	0	0	0	0	0	12	7	0.29
1	0.0	1	0	0	0	0	0	0	12	1	0.4
1	0.0	1	0	0	0	0	0	0	8	3	0.35
1	0.29	3	1	0	0	0	1	0	12	7	0.35
1	2.0	2	0	0	10	0	0	0	31	5	0.5
1	2.0	2	0	0	10	0	0	0	20	5	0.67
1	0.0	1	0	10	0	0	0	0	20	9	0.39
1	0.0	1	0	0	0	0	0	0	5	7	0.31
1	0.0	2	0	0	0	0	1	0	9	1	0.45
1	0.75	2	0	3	0	0	0	0	43	4	0.57
1	0.0	1	0	0	0	0	0	0	103	1	0.45
1	2.5	5	0	0	4	0	1	0	22	2	0.65
1	1.33	5	0	0	4	0	1	0	54	9	0.48
1	0.0	1	0	0	0	0	0	0	8	6	0.62
1	0.0	1	0	0	0	0	0	0	4	3	0.36
1	1.0	2	0	0	0	0	0	0	16	5	0.47
1	0.0	1	0	0	0	0	0	0	31	13	0.76
1	0.0	1	0	0	0	0	0	0	63	1	0.53
1	0.0	1	0	0	0	0	0	0	12	4	0.55
1	1.0	2	0	0	0	0	0	0	42	4	0.4
1	1.6	5	0	0	4	0	1	0	39	5	0.5
1	0.0	2	0	5	0	0	0	0	13	1	0.24
1	0.0	2	0	331	0	0	0	0	72	1	0.13
1	2.0	2	0	0	10	0	0	0	13	5	0.76
1	0.0	1	0	0	0	0	0	0	26	5	0.41
1	2.0	2	0	0	20	0	0	0	34	10	0.64
1	0.0	2	16	56	0	0	0	0	33	1	0.17
1	0.0	1	0	0	0	0	0	0	39	6	0.55
1	0.0	1	0	0	0	0	0	0	30	3	0.71
