relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr	relevants_ratio
0	6	0	0	4	3	0	1	0	19	1	0	1	0.24
1	4	0	0	0	0	6	0	0	100	55	55	55	0.57
1	6	0	3	1	0	0	7	0	36	8	8	8	0.4
1	3	0	0	0	0	0	0	0	16	14	0	4	0.64
0	7	1	0	10	0	0	2	0	29	4	4	2	0.43
0	7	0	0	13	6	0	22	0	99	128	26	23	0.57
1	1	0	11	0	0	10	0	0	31	0	0	0	0.55
1	6	0	1	1	0	0	1	0	24	5	5	5	0.36
1	6	0	1	1	0	0	1	0	32	8	8	8	0.4
0	6	0	0	0	0	0	1	0	16	8	0	4	0.47
0	4	2	0	0	0	0	0	24	14	16	4	5	0.42
0	7	0	0	4	1	0	1	0	10	3	3	2	0.52
1	4	0	0	0	0	12	0	0	108	51	51	51	0.58
1	4	0	0	19	0	0	0	0	45	19	19	19	0.56
1	4	0	0	0	0	0	1	0	31	69	0	35	0.18
0	6	0	0	13	6	0	22	0	100	134	27	24	0.57
1	4	0	0	7	0	0	0	0	22	7	7	7	0.62
1	8	0	0	0	0	1	8	0	17	10	0	5	0.48
0	3	3	0	0	0	0	0	0	8	6	1	4	0.15
0	7	0	0	13	6	0	21	0	103	128	26	23	0.6
0	7	0	0	13	6	0	20	0	103	128	26	23	0.52
1	6	2	0	1	0	0	2	0	37	10	0	3	0.47
0	7	0	0	13	6	0	20	0	99	128	26	23	0.57
0	4	4	0	0	0	0	0	0	23	4	4	4	0.42
0	5	0	0	12	0	0	1	0	22	5	5	2	0.43
1	4	0	0	9	0	0	0	0	19	9	9	9	0.51
0	7	0	0	0	1	0	0	0	16	3	0	3	0.34
1	10	0	3	1	0	0	6	0	47	12	12	12	0.38
1	3	0	0	0	0	0	0	0	20	20	0	6	0.62
0	14	1	0	5	5	0	0	0	11	7	0	5	0.35
0	5	1	5	0	0	0	0	1	29	1	0	1	0.37
0	6	0	3	6	3	0	0	8	68	3	3	2	0.51
0	7	1	0	0	1	0	0	0	3	2	0	2	0.27
0	3	23	0	0	0	0	0	0	38	46	1	24	0.32
1	6	2	0	1	0	0	2	0	52	30	0	8	0.5
1	6	2	0	1	0	0	2	0	61	22	0	6	0.52
