relevant	depth	number_bold	number_br	number_div	number_img	number_li	number_links	number_p	number_relevants	number_td	number_th	number_tr	relevants_ratio
0	5	0	0	15	1	0	1	0	4	15	3	6	0.12
0	3	4	4	0	0	0	0	0	2	8	1	5	0.07
0	6	0	0	12	0	0	0	0	3	2	0	1	0.06
0	6	0	3	9	3	0	6	12	38	3	3	2	0.28
0	7	1	4	6	1	0	2	0	5	1	0	1	0.26
0	6	0	3	9	3	0	6	6	30	3	3	2	0.24
0	3	4	11	0	0	0	0	0	2	8	1	5	0.06
0	6	0	0	8	4	0	0	8	37	4	4	2	0.21
0	7	0	0	13	6	0	20	0	38	110	23	20	0.26
0	6	0	0	11	5	0	19	0	28	62	16	14	0.22
0	7	0	0	9	4	0	12	0	49	86	24	23	0.34
0	5	0	0	12	1	0	1	0	3	12	3	5	0.1
0	6	0	0	12	4	0	8	9	48	4	4	2	0.21
0	3	4	7	0	0	0	0	0	4	8	1	5	0.09
0	6	0	0	14	6	0	24	0	24	68	16	13	0.25
0	5	0	0	2	1	0	0	1	21	2	0	1	0.24
0	7	1	1	0	0	0	1	0	1	1	0	1	0.11
0	3	0	0	0	0	0	0	0	8	16	16	16	0.15
0	7	0	0	14	6	0	23	0	49	128	26	23	0.3
0	4	0	22	0	6	0	0	0	20	12	0	3	0.21
0	7	0	0	13	6	0	21	0	41	128	26	23	0.25
0	6	0	3	9	3	0	6	6	35	3	3	2	0.3
0	5	1	2	0	1	0	0	1	14	2	0	2	0.19
0	3	4	17	0	0	0	0	0	4	8	1	5	0.07
0	4	6	0	0	0	0	0	0	11	28	0	7	0.16
0	6	0	0	3	0	0	1	0	1	2	0	1	0.2
0	3	7	0	0	0	0	0	0	2	14	1	8	0.05
0	7	0	0	13	6	0	18	0	47	128	26	23	0.25
0	3	4	0	0	0	0	0	0	3	8	1	5	0.17
0	7	0	0	13	6	0	23	0	47	128	26	23	0.28
0	7	0	0	9	4	0	12	0	12	34	11	10	0.19
0	7	0	0	3	1	0	1	0	1	2	2	2	0.06
0	6	0	3	6	0	0	0	6	26	3	3	2	0.18
0	5	0	0	10	0	0	12	0	0	15	0	5	0.0
0	4	0	0	1	0	0	2	0	0	2	0	1	0.0
0	6	0	0	14	6	0	23	0	39	134	27	24	0.22
0	7	0	0	11	5	0	17	0	37	102	24	22	0.23
0	7	0	0	13	6	0	21	0	21	98	21	18	0.18
0	6	0	0	14	6	0	23	0	41	134	27	24	0.25
0	7	0	0	13	6	0	21	0	53	128	26	23	0.35
0	7	2	0	16	0	0	3	0	7	8	4	3	0.12
0	3	10	0	0	0	0	0	0	3	20	1	11	0.05
0	4	0	0	0	0	0	0	0	17	1	0	1	0.33
0	3	14	0	0	0	0	0	0	4	28	1	15	0.05
0	5	0	0	0	1	10	0	0	11	2	0	1	0.15
0	4	3	3	1	0	0	2	0	6	5	0	4	0.16
0	7	0	0	9	4	0	15	0	41	86	24	23	0.31
0	3	21	0	0	0	0	0	0	13	42	1	22	0.13
0	6	0	3	9	3	0	6	6	43	3	3	2	0.23
0	3	4	10	0	0	0	0	0	2	8	1	5	0.06
0	4	0	2	0	0	0	1	0	1	1	0	1	0.04
0	3	0	0	0	0	0	0	0	6	2	2	2	0.19
0	6	0	0	9	4	0	12	0	32	82	23	22	0.23
0	14	0	0	1	0	6	4	0	4	6	0	3	0.15
0	4	0	0	0	0	0	0	0	1	1	0	1	0.5
0	3	4	0	0	0	0	0	0	13	8	1	5	0.13
0	6	1	1	0	0	0	0	0	0	1	0	1	0.0
0	6	0	0	13	6	0	20	0	15	140	28	25	0.07
0	3	0	0	0	0	0	0	0	4	5	4	6	0.15
0	3	21	0	0	0	0	0	0	16	42	1	22	0.15
0	10	1	0	5	3	0	0	0	7	4	0	2	0.23
0	3	3	1	0	0	0	0	0	3	6	1	4	0.11
0	7	1	0	0	1	0	0	0	1	2	0	2	0.2
0	6	0	0	13	6	0	21	0	48	116	24	21	0.24
0	6	27	2	0	0	0	0	0	5	63	0	14	0.12
0	7	0	0	14	6	0	23	0	55	128	26	23	0.29
0	5	0	3	6	3	0	0	6	26	3	3	2	0.33
0	5	0	0	9	1	0	1	0	3	9	3	4	0.11
0	4	0	0	0	1	0	0	0	0	1	0	1	0.0
0	5	0	0	10	0	0	15	0	0	15	0	5	0.0
0	4	2	0	0	0	0	0	24	0	16	4	5	0.0
0	5	2	5	0	0	0	0	0	7	12	0	8	0.21
0	11	9	1	2	0	6	9	2	28	1	0	1	0.2
0	5	0	0	2	3	0	0	1	8	2	0	1	0.18
0	6	0	0	3	0	0	1	0	0	4	0	1	0.0
0	7	0	0	9	4	0	14	0	41	82	23	22	0.34
0	5	1	0	2	0	0	0	0	4	1	1	2	0.13
0	6	0	3	6	0	0	0	6	19	3	3	2	0.19
0	3	3	0	0	0	0	0	0	0	6	1	4	0.0
0	7	0	0	13	6	0	19	0	24	98	21	18	0.17
0	7	1	0	0	1	0	0	0	3	2	0	2	0.21
0	5	4	10	0	1	0	0	1	16	2	0	1	0.2
0	11	6	8	0	0	0	6	0	9	12	0	8	0.24
0	7	0	3	9	3	0	6	9	36	3	3	2	0.19
0	2	0	0	0	0	0	0	0	0	1	0	1	0.0
0	7	0	0	9	4	0	14	0	38	86	24	23	0.3
0	6	12	12	0	0	0	7	12	8	9	3	4	0.14
0	5	1	0	0	0	0	0	1	11	1	0	1	0.14
0	7	0	0	9	4	0	13	0	48	86	24	23	0.32
0	14	2	0	5	5	0	0	0	13	7	0	5	0.27
0	3	1	4	0	0	0	0	0	2	2	1	2	0.15
0	7	0	0	13	6	0	20	0	47	122	25	22	0.23
0	5	0	0	1	1	0	0	0	0	1	0	1	0.0
0	6	0	0	14	6	0	20	0	30	80	18	15	0.2
0	3	0	0	2	0	0	0	0	24	1	1	2	0.15
0	6	1	1	0	0	0	1	0	2	1	0	1	0.25
0	7	0	0	14	6	0	19	0	52	128	26	23	0.3
0	7	0	0	11	5	0	17	0	43	107	25	23	0.27
0	6	1	2	0	1	0	0	0	3	1	0	1	0.38
0	15	1	0	6	5	0	0	0	16	7	0	5	0.34
0	3	4	26	0	0	0	0	0	2	8	1	5	0.05
0	14	1	1	5	5	0	0	0	11	7	0	5	0.27
0	11	10	1	2	0	8	8	2	26	1	0	1	0.18
0	7	0	0	13	6	0	22	0	35	86	19	16	0.29
0	3	4	8	0	0	0	0	0	4	8	1	5	0.09
0	6	3	0	6	0	0	0	0	24	14	0	2	0.26
0	3	13	0	0	0	0	0	0	5	26	1	14	0.06
0	7	0	0	14	6	0	20	0	37	86	19	16	0.22
0	4	0	0	0	0	0	0	0	0	4	0	2	0.0
0	10	1	1	5	3	0	0	0	8	4	0	2	0.22
0	3	1	3	0	0	0	0	0	2	2	1	2	0.14
0	4	0	0	0	6	0	0	0	0	6	0	3	0.0
0	6	0	0	13	6	0	22	0	50	122	25	22	0.22
0	5	0	0	10	0	0	3	0	1	15	0	5	0.11
0	5	0	3	6	3	0	0	6	6	3	3	2	0.06
0	7	0	11	0	1	10	0	2	20	2	0	1	0.27
0	7	0	0	13	6	0	18	0	45	128	26	23	0.24
0	7	0	0	13	6	0	17	0	30	86	19	16	0.21
0	7	3	6	0	3	0	4	0	4	3	0	3	0.2
0	5	2	0	2	0	0	0	0	1	2	0	1	0.08
0	7	0	0	11	5	0	18	0	40	107	25	23	0.3
0	7	0	0	0	1	0	0	1	13	3	0	3	0.31
0	3	9	0	0	0	0	0	0	4	18	1	10	0.08
0	5	0	3	6	3	0	0	6	24	3	3	2	0.22
0	3	3	0	0	0	0	0	0	1	6	1	4	0.04
0	7	3	6	0	3	0	2	0	5	3	0	3	0.26
0	6	0	0	13	6	0	23	0	37	80	18	15	0.27
0	6	0	80	0	0	0	40	0	34	83	0	11	0.21
0	5	0	0	11	0	0	1	0	6	5	5	2	0.11
0	5	0	0	19	0	0	1	0	7	10	5	3	0.13
0	7	0	0	9	4	0	10	0	50	86	24	23	0.33
0	5	2	2	0	0	0	0	2	33	1	0	1	0.23
0	7	0	0	9	4	0	12	0	48	86	24	23	0.29
0	3	2	0	0	0	0	0	0	1	4	1	3	0.06
0	5	0	0	0	0	7	7	0	1	3	0	1	0.02
0	6	0	3	9	3	0	6	12	36	3	3	2	0.26
0	5	0	0	0	0	7	8	0	11	3	0	1	0.3
