relevant	avg_tag_in_li	depth	number_bold	number_br	number_div	number_img	number_links	number_p	number_relevants	number_row	relevants_ratio
0.0	4.0	3.0	0.0	0.0	0.0	12.0	0.0	0.0	2.0	12.0	0.08
0.0	2.0	3.0	0.0	0.0	0.0	0.0	11.0	11.0	7.0	11.0	0.33
0.0	20.67	7.0	0.0	0.0	17.0	6.0	8.0	0.0	13.0	3.0	0.18
0.0	6.22	9.0	2.0	0.0	10.0	8.0	8.0	0.0	0.0	9.0	0.0
0.0	2.0	2.0	8.0	8.0	0.0	0.0	0.0	0.0	44.0	8.0	0.25
0.0	19.33	7.0	0.0	0.0	18.0	3.0	9.0	0.0	18.0	3.0	0.21
0.0	8.0	6.0	0.0	0.0	24.0	6.0	6.0	0.0	9.0	6.0	0.53
0.0	12.2	6.0	0.0	0.0	22.0	5.0	14.0	0.0	17.0	5.0	0.27
0.0	5.6	4.0	10.0	5.0	5.0	0.0	8.0	0.0	3.0	5.0	0.04
0.0	29.94	11.0	0.0	0.0	595.0	48.0	165.0	4.0	115.0	48.0	0.14
0.0	18.2	7.0	0.0	0.0	58.0	10.0	28.0	0.0	27.0	10.0	0.18
0.0	0.09	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0
0.0	12.5	7.0	0.0	0.0	27.0	6.0	21.0	0.0	9.0	6.0	0.16
0.0	14.6	5.0	0.0	0.0	15.0	0.0	6.0	11.0	48.0	5.0	0.19
0.0	14.0	6.0	0.0	0.0	9.0	2.0	8.0	0.0	8.0	2.0	0.26
0.0	16.6	5.0	0.0	0.0	15.0	0.0	5.0	13.0	37.0	5.0	0.14
0.0	10.0	10.0	0.0	0.0	16.0	0.0	0.0	0.0	2.0	4.0	0.2
0.0	24.06	8.0	0.0	0.0	525.0	48.0	112.0	0.0	86.0	48.0	0.13
0.0	20.0	7.0	0.0	0.0	18.0	3.0	9.0	0.0	16.0	3.0	0.18
0.0	21.17	6.0	0.0	0.0	120.0	12.0	12.0	37.0	5.0	12.0	0.08
0.0	14.0	13.0	0.0	2.0	14.0	3.0	0.0	0.0	1.0	3.0	0.17
0.0	14.5	6.0	0.0	0.0	30.0	6.0	24.0	0.0	12.0	6.0	0.19
0.0	22.0	7.0	2.0	0.0	5.0	1.0	4.0	4.0	6.0	1.0	0.21
0.0	12.5	11.0	0.0	0.0	8.0	0.0	1.0	0.0	3.0	2.0	0.25
0.0	14.83	6.0	0.0	0.0	28.0	6.0	20.0	0.0	11.0	6.0	0.19
0.0	16.0	7.0	0.0	0.0	38.0	7.0	17.0	0.0	16.0	7.0	0.15
0.0	7.0	4.0	3.0	0.0	2.0	0.0	0.0	2.0	3.0	1.0	0.07
0.0	20.67	7.0	0.0	0.0	17.0	6.0	8.0	0.0	8.0	3.0	0.13
0.0	16.5	6.0	0.0	0.0	29.0	6.0	24.0	0.0	12.0	6.0	0.16
0.0	14.57	7.0	21.0	3.0	20.0	0.0	3.0	17.0	1.0	7.0	0.01
0.0	12.5	7.0	0.0	0.0	10.0	2.0	2.0	2.0	10.0	2.0	0.23
0.0	17.0	7.0	40.0	0.0	80.0	20.0	80.0	40.0	13.0	20.0	0.09
0.0	2.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	2.0	0.38
0.0	4.37	6.0	1.0	0.0	157.0	58.0	100.0	0.0	27.0	269.0	0.1
0.0	19.0	6.0	0.0	0.0	8.0	2.0	2.0	4.0	13.0	2.0	0.32
0.0	20.43	7.0	0.0	0.0	41.0	14.0	20.0	0.0	11.0	7.0	0.08
0.0	18.33	7.0	0.0	0.0	16.0	3.0	13.0	0.0	9.0	3.0	0.21
0.0	17.0	7.0	0.0	0.0	36.0	14.0	15.0	0.0	7.0	7.0	0.07
